	BMDM_veh_rep1	BMDM_veh_rep2	BMDM_DMHCA_rep1	BMDM_DMHCA_rep2	BMDM_DMHCA_rep3	BMDM_GW_rep1	BMDM_GW_rep2	BMDM_GW_rep3
Dap3	9.692	10.056	0	41.37	0	7.435	0	27.467
Slc22a29	0	0	0	0	0	0	0	0
P2rx6	0.343	0.094	0	0	0	0	0	0
Aldh3b3	0	0.018	0	0	0	0	0	0
Hist1h4k	0.767	1.445	0	0	0	0	0	0
Apod	0.045	0.037	0	0	0	0	0	0
Slc4a10	0	0	0	0	0	0	0	0
Ccdc105	0	0	0	0	0	0	0	0
Clcn6	6.713	6.337	0	4.398	0	3.035	0	0
Cap1	487.122	496.901	501.555	740.685	698.301	475.918	603.764	680.479
4930459C07Rik	0	0	0	0	0	0	0	0
Fgd4	62.527	57.09	33.485	78.077	31.908	44.357	77.665	25.756
Clec4g	0	0	0	0	0	0	0	0
Gemin2	3.524	4.067	0	0	0	7.28	0	0
Nfu1	34.13	29.609	0	83.978	0	14.975	0	154.705
Ly86	110.678	107.238	0	303.466	0	139.75	0	19.69
Acrv1	0	0	0	0	0	0	0	0
Acp5	5.815	6.339	0	0	3.953	9.989	0	0
Ppic	2.261	2.15	0	1.477	0	10.804	0	0
4930557J02Rik	0	0.034	0	0	0	0	0	0
Gnb3	0.049	0.1	0	0	0	0	0	0
D1Pas1	0.028	0.046	0	0	0	0.104	0	0
Slc45a1	0	0	0	0	0	0	0	0
Alyref	51.294	71.126	0	193.321	187.095	32.291	0	208.109
1700074H08Rik	0	0	0	0	0	0	0	0
Gm4890	0.462	0.592	0	0	0	0	0	0
Apobec3	39.344	36.597	42.702	73.326	2.261	31.897	0	278.697
9430060I03Rik	0.666	1.252	0	0	0	0	0	0
Pias1	38.994	34.284	23.07	0	0	42.24	0	0
Hs6st2	0	0	0	0	0	0	0	0
Gstt2	4.863	5.516	0	0	0	0	0	0
Vmn2r65	0	0	0	0	0	0	0	0
Hic1	0.126	0.087	0	11.617	0	0	0	0
Robo3	0	0	0	0	0	0	0	0
Rnase4	90.351	95.666	0	70.95	0	47.929	0	102.729
Lmnb2	15.677	21.029	35.897	29.268	0	16.961	0	0
Me1	5.038	4.854	0.896	0	0	6.729	0	0
Sap18	7.243	7.139	47.106	19.705	0	0.772	0	0
Katnal1	3.186	3.498	0	0.308	0	3.658	0	0
Tph1	0	0	0	0	0	0	0	0
Tspan11	0	0	0	0	0	0	0	0
Nedd1	14.475	13.444	0	1.075	0	14.632	125.868	0
Fmo2	0	0	0	0	0	0	0	0
Slc25a4	131.783	149.233	141.245	104.022	250.411	113.881	385.823	235.208
2810404M03Rik	0	0	0	0	0	0	0	0
Mad2l1bp	21.629	24.863	0	0	0	31.011	2.477	0
Rtp3	0	0.03	0	0	0	0	0	0
Spcs2	40.225	40.029	56.875	28.935	134.016	53.955	86.067	145.78
Kbtbd4	18.058	17.613	0	29.499	0	11.97	0	4.004
Tubg2	0.076	0.125	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0	0	0
Dlgap3	0	0	0	0	0	0	0	0
Nr1h5	0	0	0	0	0	0	0	0
Psmd3	55.124	57.441	100.058	54.922	114.158	55.653	0	0
Slc4a9	0.03	0.025	0	0	0	0	0	0
Tgfbr3l	0.376	0.482	0	0	0	0	0	0
Slc2a4	0.079	0	0	0	0	0	0	0
Cpa6	0	0.041	0	0	0	0	0	0
Gm7443	0.097	0.04	0	0	0	0	0	0
Vps13b	13.74	12.647	5.564	5.964	0	11.936	13.68	41.748
Olfr837	0	0	0	0	0	0	0	0
Zcrb1	26.682	26.521	0	0	0	0	0	0
1500015L24Rik	0	0	0	0	0	0	0	0
2900052L18Rik	1.563	1.351	0	0	0	0	0	0
4732490B19Rik	0	0	0	0	0	0	0	0
L2hgdh	2.127	2.536	25.755	0	0	0	0	0
Itgb2l	0	0.028	0	0	0	0	0	0
Defb9	0	0	0	0	0	0	0	0
Tnnt2	0	0	0	0	0	0	0	0
Azin1	47.273	45.926	2.896	16.961	0	28.695	24.418	27.219
Pabpn1l	0	0	0	0	0	0	0	0
Pde4a	9.155	10.505	0	20.379	0	10.486	0	29.433
Tmem25	0.477	0.908	0	16.758	0	0	0	0
Cyp4v3	74.744	65.173	34.343	28.501	64.504	72.543	120.511	136.991
Arnt2	0.029	0	0	0	0	0	0	0
Slc13a4	0	0	0	0	0	0	0	0
Lrrtm1	0	0	0	0	0	0.725	0	0
Rorb	0	0.004	0	0	0	0	0	0
Gabarapl2	20.005	22.666	0	13.58	0	20.17	0	0
Ctnnd1	77.903	78.193	49.523	103.952	99.457	92.267	33.959	134.052
Ribc1	0.326	0.953	0	0	0	0	0	0
Speg	7.383	7.943	9.73	9.848	18.543	13.141	0	34.472
Gsta1	0	0	0	0	0	0	0	0
Hgs	47.235	48.726	68.537	7.214	74.915	79.344	0	0
Gpalpp1	24.599	21.546	0	9.729	52.919	11.971	0	48.392
Akr1c19	0	0	0	0	0	0	0	0
Trp53bp2	6.668	6.66	0	0	0	2.258	0	0
Tcl1	0	0	0	0	0	0	0	0
Gm15997	0	0	0	0	0	0	0	0
Pum1	26.39	25.398	30.315	45.089	0	25.172	0	18.17
Sybu	0	0	0	0	0	0	0	0
Vmn1r168	0	0	0	0	0	0	0	0
Mymx	0	0	0	0	0	0	0	0
Bdkrb1	0	0.052	0	0	0	0	0	0
Pls3	29.419	26.894	9.431	71.302	0	13.492	0	48.235
Thap7	24.241	25.841	0	44.056	205.497	23.579	0	0
Cav2	69.171	63.184	0.529	64.063	38.333	43.398	34.327	138.575
Olfr1123	0	0	0	0	0	0	0	0
Grid2ip	0	0.021	0	0	0	0	0	0
Dirc2	10.272	11.487	37.711	20.38	1.218	13.266	0	49.344
Dip2c	2.613	2.678	0	0	0	0.667	0	0
Btbd35f23	0	0	0	0	0	0	0	0
Gad1	0	0	0	0	0	0	0	0
Ceacam20	0	0	0	0	0	0	0	0
Itm2a	1.37	1.513	0	0	0	6.664	0	0
Arhgef1	113.598	120.279	94.122	42.679	116.883	153.45	158.36	65.758
Apol7d	0	0	0	0	0	0	0	0
Mup11	0	0	0	0	0	0	0	0
4930470G03Rik	9.439	9.165	0	0	0	6.545	0	9.123
Try10	0	0	0	0	0	0	0	0
Vmn2r76	0	0	0	0	0	0	0	0
Cnot9	36.412	38.756	51.725	33.658	0	26.998	38.558	32.927
Bckdhb	2.356	3.884	0	1.283	0	0	123.586	0
Fgf13	1.106	1.191	0	0	0	0	1.258	0
Slc51b	0	0	0	0	0	0	0	0
Dok5	0	0	0	0	0	0	0	0
Ppfia2	0	0	0	0	0	0	0	0
AI314278	0	0	0	0	0	0	0	0
Lincred1	0	0.007	0	0	0	0	0	0
Ptprtos	0	0	0	0	0	0	0	0
Arc	0.744	0.649	0	0	0	0	0	0
Crhr1	0	0	0	0	0	0	0	0
Meis2	0	0	0	0	0	0	0	0
Kifc2	3.139	4.778	0	12.479	0	2.599	0	0
Olfr869	0	0	0	0	0	0	0	0
Cct6a	66.421	65.418	0	61.347	2.567	56.14	0	13.562
Xylt1	13.8	13.86	0	0	0	7.246	1.027	0
C530005A16Rik	3.73	4.733	0	0	0	1.642	0	0
Mup4	0	0.254	0	0	0	0	0	0
Gm20110	0	0	0	0	0	0	0	0
Musk	0	0	0	0	0	0	0	0
Olfr391-ps	0	0	0	0	0	0	0	0
Gm12171	0	0	0	0	0	0	0	0
Psmf1	13.321	14.824	0	13.839	0	4.924	0	0
Gpank1	12.152	12.558	0	40.283	0	2.329	0	123.373
Mgst3	81.098	95.862	0	0	150.047	160.117	0	217.624
Ntng1	0	0	0	0	0	0	0	0
Ltk	0	0.024	0	6.179	0	0	0	0
Efhc1	0.304	0.401	0	0	0	0	0	0
Chd8	29.469	28.071	34.195	32.682	46.163	25.835	0.385	65.757
Lag3	0.134	0.147	0	0	0	0	0	0
Pdha1	46.459	46.04	47.51	5.319	0	30.463	0	0
Son	95.28	89.075	49.904	87.79	59.69	84.182	142.48	69.312
Upf3a	20.515	22.109	0	0	0	2.515	282.253	0
Ncbp3	9.133	8.634	0	6.028	0	10.995	0	0
Gm35135	0	0	0	0	0	0	0	0
4930553P18Rik	0	0	0	0	0	0	0	0
Sirt3	10.123	10.708	0	0	0	7.075	0	0
Rhbdl1	1.886	1.794	0	0	0	0	0	0
Cbs	0	0.06	0	0	0	4.77	0	0
Fads1	67.841	70.373	92.744	75.163	64.275	56.608	0.911	82.069
Foxn4	0	0	0	0	0	0	0	0
Fam20b	30.514	28.519	0	8.044	1.309	24.966	0.742	2.305
Snph	0	0	0	0	0	0	0	0
Zfp574	6.774	7.62	0	0	0	16.181	0	0
Smim20	22.829	25.195	36.717	55.749	0	25.087	0	0
Ube2g1	19.426	17.402	0	26.154	0	15.131	0	35.636
Cltc	236.127	224.797	56.923	110.976	115.719	182.437	105.684	8.991
Pknox1	8.041	8.236	13.383	0	0	8.01	0	0
4930583K01Rik	0	0	0	0	0	0	0	0
Sptlc3	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0	0	0
Fip1l1	24.626	22.384	0	50.601	0	28.818	1.025	0
Eno1	114.045	133.993	147.494	159.782	3.141	156.285	149.63	226.79
Olfr965	0	0	0	0	0	0	0	0
Ppil6	0.126	0.069	0	0	0	0	0	0
Adam15	162.85	186.103	226.398	247.118	9.279	273.239	555.738	117.663
Fbxo18	26.015	24.733	0	37.234	0	8.364	46.17	127.139
Havcr1	0	0.074	0	0	0	0	0	0
Ccl20	0	0	0	0	0	0	0	0
Mrc1	45.345	45.559	61.525	44.324	106.787	31.433	68.283	22.126
Prokr1	1.632	1.537	0	0	0	0	0	0
Fgf8	0	0	0	0	0	0	0	0
Jakmip1	0	0	0	0	0	0	0	0
Olfr829	0	0	0	0	0	0	0	0
Tm6sf2	0	0	0	0	0	0	0	0
Dgkb	0	0	0	0	0	0	0	0
Yae1d1	4.668	5.237	0	0	0	5.289	0	0
Slc10a4	0	0	0	0	0	0	0	0
1700020I14Rik	39.422	35.415	0	112.441	3.58	20.677	0	0
Yod1	5.062	4.202	0	13.839	21.714	6.315	0	0
Olfr801	0	0	0	0	0	0	0	0
Hsd17b13	0	0	0	0	0	0	0	0
Fndc1	0	0.013	0	0	0	0	0	0
Nccrp1	0.058	0	0	0	0	0	0	0
Gm10640	0	0.065	0	0	0	5.009	0	0
Lrrc4c	0	0	0	0	0	0	0	0
Ak7	0.058	0	0	0	0	0	0	0
Atp13a5	0.041	0	0	0	0	0	0	0
4931408D14Rik	0.027	0.045	0	0	0	0.051	0	3.012
Ier5	58.689	58.864	78.215	65.355	0	69.154	70.132	0
Pcnx4	4.553	4.885	0	0	0	3.022	0	0
Nfib	0.048	0.06	0	0.41	0	0	0	1.056
Tceal3	0	0	0	0	0	0	0	0
Hpgds	146.13	133.023	63.988	79.256	227.082	101.209	0.954	109.61
Zmynd11	36.236	33.369	33.045	22.418	97.818	40.03	73.717	0
Abca8a	0	0	0	0	0	0	0	0
Tgfbr1	101.929	91.821	37.954	76.726	52.081	66.938	84.237	61.149
Rims3	0.656	0.597	0	0.29	0	0	0	0
1700057G04Rik	0	0	0	0	0	0	0	0
Cdh20	0	0	0	0	0	0	0	0
Pkd2	16.125	14.584	0	7.274	0	9.198	0	0
Sun3	0	0	0	0	0	0	0	0
Cemip	0.094	0.104	0	0	0	0	0	0
Bmp2	0.462	0.484	0.408	0	0	0.094	0	0
Gmps	15.882	14.148	0	19.938	1.217	10.687	0.69	2.143
1700084E18Rik	1.849	0.254	0	0	0	0	0	0
Lrch3	20.121	19.13	32.148	24.611	48.655	18.866	5.11	14.282
Npnt	0	0	0	0	0	0	0	0
Ablim1	0.245	0.185	0	0	0	0.34	0	0
Fgf7	0.083	0.028	0	0	0	0	0	0
Akr1c18	0	0	0	0	0	0	0	0
Skor2	0.014	0	0	0	0	0	0	0
Gm10638	0.621	1.024	0	0	0	0	0	0
Inip	19.311	19.702	51.578	0	41.389	16.706	0	0
Cdkn1b	42.466	45.29	49.606	14.171	156.799	33.298	0	77.159
Gm8624	0	0.056	0	0	0	0	0	0
Tmod3	77.883	65.258	24.347	170.573	176.323	63.655	42.106	103.512
4930449E18Rik	0	0	0	0	0	0	0	0
4833423E24Rik	0	0	0	0	0	0	0	0
Tepp	0	0	0	0	0	0	0	0
Lkaaear1	0	0	0	0	0	0	0	0
Eprn	0	0	0	0	0	0	0	0
Ctla2a	1.433	2.604	0	0	0	0	0	0
Acod1	34.472	13.782	0	19.034	72.902	5.354	0	0
Parp10	21.119	22.764	86.692	28.485	0	26.477	36.183	2.881
Sprr2a2	0	0	0	0	0	0	0	0
Ccdc88c	0.018	0.01	0	0	0	0	0	0
Snu13	11.868	12.947	0	0	0	16.09	0	0
Ovol2	0	0.05	0	0	0	0	0	0
Mup1	0	0	0	0	0	0	0	0
Xlr5a	0	0	0	0	0	0	0	0
Sstr3	0.023	0	0	0	0	0	0	0
Tnfrsf17	0.165	0.182	0	0	0	0	0	0
Rpl8	683.814	782.654	487.923	738.986	434.173	751.347	378.55	524.984
Mrps17	32.01	30.795	0	98.878	0	20.148	0	127.509
Trim41	23.426	29.268	60.39	1.637	0	35.443	212.145	2.815
Gucy1b2	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0
Vps4a	35.447	33.026	71.115	21.076	0	27.21	203.967	0
Cyfip2	25.744	22.91	17.746	10.264	0	28.263	50.677	29.414
Sdk2	0.014	0.011	0	0	0	0	0	0
Cyp2c53-ps	0	0	0	0	0	0	0	0
Wfdc17	151.159	158.439	324.719	52.825	904.495	55.138	391.489	544.962
Nav1	33.927	33.401	4.674	37.238	30.851	38.76	26.616	19.897
Wdr13	27.563	26.508	71.393	10.136	28.45	27.612	73.661	2.178
Akp3	0	0	0	0	0	0	0	0
Cpne5	0	0	0	0	0	0	0	0
Slc22a20	0	0	0	0	0	0	0	0
4930524C18Rik	0	0	0	0	0	0	0	0
Hif1an	14.93	15.583	51.215	11.618	28.655	13.039	0.508	1.577
Hddc3	2.5	3.092	0	0	0	0	0	0
Ccl17	0	0	0	0	0	0	0	0
Jmjd7	1.62	3.152	0	0	0	0	0	0
Mal	0	0	0	0	0	0	0	0
Pxylp1	0.895	1.187	0	0	0	3.245	0	0
Rnft2	0.329	0.186	0	0	0	0	0	0
Pomt2	6.407	6.54	0	12.744	53.793	14.598	0	0
Tmco5	0	0	0	0	0	0	0	0
Tmem179	0	0	0	0	0	0	0	0
Mogat1	0	0	0	0	0	0	0	0
Smad5	7.643	6.715	0	2.437	22.203	5.916	0	0
Dld	54.679	48.35	0	25.906	0	36.229	0	0
Fam98b	20.861	20.783	67.456	0	0	19.878	78	0
Nacc1	37.973	41.307	0	77.85	0	47.823	77.444	54.449
Cyp19a1	0	0	0	0	0	0	0	0
Cers4	2.386	2.077	0	0	0	4.282	0	0
Aqp12	0	0	0	0	0	0	0	0
Olfr1006	0	0	0	0	0	0	0	0
G6pc2	0	0	0	0	0	0	0	0
Nudt16	8.92	8.887	1.814	0	24.196	9.151	0	0
Zfp229	3.082	2.321	0	0	0	2.395	0	34.516
Gm15348	0	0	0	0	0	0	0	0
Etfrf1	10.42	10.854	0	10.002	0	12.485	89.992	0
Klhl13	0.029	0	0	0	0	0	0	0
Nid2	0.915	1.381	0	0	0	0	0	0
4930417O22Rik	0	0	0	0	0	0	0	0
LOC102640673	3.299	3.095	0	0	0	3.888	0	23.957
Gpr182	0.158	0.239	0	0	0	0	0	0
Tpte	0	0	0	0	0	0	0	0
Slc7a6os	14.674	16.128	0	34.624	0	30.291	0	0
Gm8882	0	0	0	0	0	0	0	0
Erbb4	0	0	0	1.259	0	0	0	0
Pamr1	0	0.052	0	0	0	0	0	0
Spo11	0	0	0	0	0	0	0	0
Tmem189	159.174	160.668	104.686	71.471	150.454	217.853	124.285	103.686
Nol9	14.2	16.339	0	14.698	0	16.167	74.088	49.673
Nadk2	10.285	9.857	0	0	0	20.431	0	0
Ttc19	4.257	4.711	0	0.558	1.634	2.36	0	0
Paqr9	0	0	0	0	0	0	0	0
Sv2b	0	0	0	0	0	0	0	0
Cdh24	0.131	0.297	0	0	0	0	0	0
Tmem42	4.064	5.501	0	0	0	9.925	0	0
Gm29571	0.047	0	0	0	0	0	0	0
Olfr68	0	0	0	0	0	0	0	0
Cyp4f37	0	0.028	0	0	0	0	0	0
Il17re	0	0	0	0	0	0	0	0
Cox20	35.126	26.965	0	0	300.493	4.143	0	0
9230112J17Rik	0	0	0	0	0	0	0	0
Fxn	2.74	4.146	0	46.89	0	1.683	0	0
Adam1a	0.432	0.617	0	29.361	68.079	0	0	0
Chchd10	7.404	8.847	0	0	0	3.029	0	0
Camk4	0.072	0.045	0	0	0	0	0	0
Cpa2	0	0	0	0	0	0	0	0
Unc13a	0.152	0.111	0	0	0	1.451	0	0
Tmem184a	0	0	0	0	0	0	0	0
Speer1	0	0	0	0	0	0	0	0
Lsm11	2.802	3.743	0	0	0	1.885	0	0
Lenep	3.886	3.424	0	0	0	0	0	0
Gm4187	0	0	0	0	0	0	0	0
Hist2h3b	0	0	0	0	0	0	0	0
Olfr1289	0	0	0	0	0	0	0	0
Trappc13	23.717	20.865	0.413	35.458	31.47	8.426	70.502	0
Rrad	15.264	11.062	0	0	0	21.554	0	0
Znrd1	25.776	29.068	315.995	111.147	0	15.18	0	0
Cd55	0.106	0.116	0	0	0	0	0	0
Gm21953	0	0	0	0	0	0	0	0
Olfr518	0	0	0	0	22.136	0	0	0
Coq7	6.482	9.957	0	33.369	0	3.308	0	0
1700100I10Rik	0.042	0	0	0	0	0	0	0
Pramef17	0	0	0	0	0	0	0	0
3830417A13Rik	0	0	0	0	0	0	0	0
E230016K23Rik	0.08	0.05	0	0	0	0	0	0
Olfr330	0	0	0	0	0	0	0	0
5830416I19Rik	3.539	3.197	0	0	0	0	0	0
Trpc6	0	0	0	0	0	0	0	0
Magea6	0	0	0	0	0	0	0	0
Fkbp9	6.749	7.398	0	32.132	0	5.496	1.047	0
Ptges3l	2.756	3.03	0	0	0	6.988	0	0
Lmntd2	0.263	0.271	0	0	0	0	0	0
P2rx1	0.183	0.166	0	0	0	0	0	0
Gtpbp3	8.502	10.19	0	0.677	0	16.356	0	0
Aire	0	0	0	0	0	0	0	0
Olfr1404	0	0	0	0	0	0	0	0
Gm13034	0.559	0.921	0	0	0	0	0	0
Lrtm2	0	0	0	0	0	0	0	0
Rtl1	0	0.012	0	0	0	0	0	0
Gm3458	0	0	0	0	0	0	0	0
Dusp13	0.231	0.55	0	0	0	0	0	0
Rbm12	13.143	14.475	88.344	0	0	19.595	0	0
Patj	0.23	0.293	0	0	0.818	0	0	0
Itgb6	0	0.015	0	0	0	0	0	0
5830417I10Rik	4.229	3.964	0.148	1.54	0	5.021	0	0
Ogdhl	0	0.04	0	0	0	0	0	0
Gm15915	0	0	0	0	0	0	0	0
C030007H22Rik	0	0	0	0	0	0	0	0
Stk11ip	25.652	26.294	40.302	24.733	109.907	24.836	0	43.992
Mthfd1	12.574	12.847	0	25.239	1.68	8.137	0	0
Cwc15	105.126	102.83	0	130.596	9.683	30.297	0	187.596
Eif4h	139.672	148.489	160.085	151.312	33.405	126.76	66.941	490.264
Arnt	27.849	26.333	0	27.397	0	39.927	0	0
Rpa2	19.267	24.372	0	0	0	10.059	0	0
Isg20	3.387	3.541	0	0	0	0.155	0	0
Cdc42	582.966	571.324	515.858	464.646	600.237	523.13	808.509	496.663
Lect2	0	0.084	0	0	0	0	0	0
Cbr3	19.449	22.249	0	0	0	51.867	259.304	0
Raet1a	4.382	5.43	0	0	0	2.932	0	0
Aurkc	0	0	0	0	0	0	0	0
Cdc37	74.624	91.53	77.164	115.873	0	111.288	0	0
Rbm47	51.96	51.444	65.176	55.653	56.206	56.748	0	91.07
Shmt2	21.347	28.091	70.621	48.024	0	20.282	121.035	0
Tspo	124.825	156.482	59.783	333.442	325.534	153.366	0	458.656
Rprml	0	0	0	0	0	0	0	0
Catsperd	0.022	0.018	0	0	0	0	0	0
Ddx11	5.364	5.268	0	14.828	75.016	5.741	0	0
Dnaaf2	4.482	5.33	0	0	0	9.886	0	95.017
Stxbp5l	0	0	0	0	0	0	0	0
Pou2f2	45.323	32.602	0	13.177	107.393	65.273	71.376	26.597
Mal2	0	0	0	0	0	0	0	0
Klk4	0	0	0	0	0	0	0	0
Hist1h3h	0	0.378	0	0	0	0	0	0
Proser3	4.88	5.863	0	0.771	0	6.926	0	0
Herc3	10.399	10.402	0	69.34	0	6.81	0	22.354
Gm35722	0	0	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0	0	0
Olfr50	0	0	0	0	0	0	0	0
Dhtkd1	0.418	0.49	0	0	0	0.994	0	0
Cul4b	22.036	21.19	53.1	13.896	1.1	9.663	49.285	0
Adamts16	0	0	0	0	0	0	0	0
Dhrs7c	0	0	0	0	0	0	0	0
Ptpn11	36.532	36.712	66.597	23.699	0	40.034	75.922	5.239
Prkag2os1	0.045	0	0	0	0	0	0	0
Olfr1325	0	0	0	0	0	0	0	0
Ubxn1	97.216	106.473	249.701	112.231	4.906	118.373	0	69.124
1700101O22Rik	0	0	0	0	0	0	0	0
Hnrnpm	95.415	95.838	50.244	84.178	2.201	66.887	0	151.198
Bud31	81.287	78.205	106.528	0	0	53.592	0	115.342
Slc38a3	0	0	0	0	0	0	0	0
Zeb1	0.967	1.259	0	0	0	0	0	0
Kdm8	2.449	3.3	0	32.604	0	7.661	43.843	0
Gm38436	0	0	0	0	0	0	0	0
Smim1	8.283	8.628	0	0	1.646	20.7	26.14	0
Itpr1	7.063	6.618	0	9.242	0	7.482	0	0
Krt73	0	0.017	0	0	0	0	0	0
Gm5089	0	0	0	0	0	0	0	0
Trhr2	0	0	0	0	0	0	0	0
Fkbp5	7.309	9.246	0	1.952	0	7.269	0.811	0
Drd3	0	0	0	0	0	0	0	0
Phf20	19.397	18.558	0	33.735	0	17.981	0	0
Ptprz1	0	0	0	0	0	0	0	0
Shisa8	0	0	0	0	0	0	0	0
Gpr141	31.424	26.717	0	12.685	0	6.706	0	39.828
Arih1	36.115	33.856	75.093	58.578	0	28.012	0	0
Rnf13	122.425	104.652	173.207	124.005	64.636	97.458	77.681	94.862
E030044B06Rik	0	0	0	0	0	0	0	0
Mmp28	0.455	0.459	0	0	0	0	0	0
Gm13375	2.992	5.038	0	0	0	0	0	0
Dyx1c1	0.226	0.205	0	0	0	0	0	0
Reln	0	0	0	0	0	0	0	0
Fam76b	24.964	22.31	0.394	65.085	51.033	16.211	62.143	29.078
Rhbdd2	6.874	7.139	0	12.35	0	6.063	32.236	0
Srrm4	0.012	0	0	0	0	0	0	0
Gm839	0	0	0	0	0	0	0	0
1700001C19Rik	0.881	2.02	0	0	0	6.8	0	0
Kcnip4	0.186	0.138	0	0	0	0	0	0
Sash1	95.515	87.402	81.707	48.286	49.46	92.905	108.26	141.549
4930552P12Rik	0.143	0.059	0	0	0	0	0	0
Agr2	0	0	0	0	0	0	0	0
Sele	0.015	0.025	0	0	0	0	0	0
Ccdc172	0	0	0	0	0	0	0	0
A730046J19Rik	0	0	0	0	0	0	0	0
Dlat	18.043	18.769	0	0.47	0	25.187	81.219	55.777
Spert	0	0	0	0	0	0	0	0
Cd180	295.537	280.342	310.266	239.342	362.422	359.018	428.675	16.797
Sbf2	35.602	33.237	13.866	29.192	21.763	36.361	34.384	0
Scamp5	22.677	28.293	0	38.527	0	12.58	0	0
Dok1	53.765	62.799	113.856	21.018	0	82.041	0	0
Sacm1l	34.451	31.734	28.283	29.874	0	23.502	0	0
Zfp607b	0.425	0.351	0	0	0	2.026	0	0
Uaca	6.711	6.791	0	0	0	4.55	43.23	0
Ctnnbl1	15.938	16.775	0	27.858	0	14.053	0	0
Gnai1	0.028	0.023	0	0	0	0	0	0
Adck5	10.536	12.728	91.553	0	0	8.267	127.79	0
Zfp180	11.136	11.315	30.345	15.045	42.686	7.912	0	0
Sorbs3	5.932	6.369	0	29.715	0	0	0	0
4930486L24Rik	0.783	1.157	0	0	0	0	0	0
Olfr1275	0	0	0	0	0	0	0	0
Gm5935	0	0	0	0	0	0	0	0
Il23r	0	0	0	0	0	0	0	0
Sox21	0	0	0	0	0	0	0	0
Hr	0.049	0.027	0	0	0	0	0	0
Ccdc157	1.218	1.62	0	0	0	0.999	0	0
Grhl2	0.036	0	0	0	0	0	0	0
Dtx4	34.954	32.176	0	26.904	0	30.499	23.98	64.311
Gata1	0	0.039	0	0	0	0	0	0
Ints4	18.339	19.265	79.381	23.479	0	21.309	0	0
Ly6k	0	0	0	0	0	0	0	0
Bend6	0.28	0.297	0	0	0	0	0	0
Krtap1-5	0	0	0	0	0	0	0	0
Tfr2	0.025	0	0	0	0	0	0	0
Dgkk	0	0.005	0	0	0	0	0	0
Lrp10	95.462	104.729	189.521	78.021	125.314	111.714	0	126.577
Plk2	41.212	37.186	0	12.891	0	52.428	0	10.499
Olfr589	0	0	0	0	0	0	0	0
Tinagl1	0.046	0.095	0.748	0	0	0	0	0
Cd74	764.386	602.687	682.503	563.89	910.522	743.392	1618.51	1436.975
Olfr358	0	0	0	0	0	0	0	0
Ccl7	0.448	1.108	1.829	0	6.97	0	0	12.275
Ocln	0	0.018	0	0	0	0	0	2.402
A530032D15Rik	0.178	0.188	0	0	0	0	0	0
Txnrd2	10.667	12.976	0	0	0	13.69	0	0
H2-L	1945.692	2152.246	2847.1	2347.945	2427.414	2371.564	3643.352	2587.305
Pla2g3	0	0.028	0	0	0	0	0	0
Rbfox3	0	0	0	0	0	0	0	0
Il20rb	1.568	1.842	2.352	13.775	0	0	0	0
Galc	82.71	73.537	70.934	7.941	0	49.768	210.233	46.082
Mrpl11	8.433	9.771	0.505	0	0	4.401	0	0
Carhsp1	22.83	25.579	46.983	41.871	9.733	36.835	0	0
Cldn18	0	0	0	0	0	0	0	0
Cse1l	36.465	31.833	0	34.864	0	28.206	0	65.394
Rab9b	0	0	0	0	0	0	0	0
Ccl5	9.811	12.828	0	0	757.517	0	0	0
Gabbr1	0.06	0	0	0	0	0	0	0
A430033K04Rik	2.823	2.584	0	0	0	0	76.064	0
4933432I09Rik	0	0	0	0	0	0	0	0
Ap2a1	55.618	63.492	111.748	68.568	1.62	46.141	0.919	37.08
Sec61b	44.405	52.12	39.887	0	0	35.676	0	267.759
4933402J07Rik	0	0	0	0	0	0	0	0
Scn3b	1.146	1.239	0	0	0	3.186	60.801	0
Adal	7.46	6.73	0	23.782	0	2.569	0	0
Pstpip1	49.12	51.609	109.246	111.268	162.945	35.586	0	0
AI507597	4.34	6.857	0	0	0	0	0	0
Cdc25c	7.53	9.52	48.999	0	0	7.78	0	0
Gm10100	0	0	0	0	0	0	0	0
Pnkd	4.11	4.758	0	0.642	0	1.131	1.066	0
Celf6	0	0	0	0	0	0	0	0
Olfr101	0	0	0	0	0	0	0	0
Mut	18.512	17.124	0	0	0	8.461	0.858	0
Nat8l	1.848	2.636	0	0	0	1.786	0	0
Sdc4	100.617	82.419	52.677	93.204	2.256	74.455	223.916	7.947
Wdr82	34.156	32.845	33.411	62.369	61.747	33.631	30.642	45.311
Vash2	2.78	3.065	19.786	0	0	0.856	0	0
Adamtsl2	0	0	0	0	0	0	0	0
Chpf	0.115	0.238	0	0	0	0	0	0
Vwc2l	0	0	0	0	0	0	0	0
Gm19510	0	0	0	0	0	0	0	0
Nbr1	62.674	61.094	203.287	10.615	2.392	42.306	136.316	0
Olfr566	0	0	0	0	0	0	0	0
Chrd	0	0	0	0	0	0	0	0
Spink13	0	0	0	0	0	0	0	0
Pcdhga5	6.849	7.676	72.369	20.004	0	5.765	58.149	0
Satb1	0.626	0.623	0	0	0	1.349	0	0
Smim12	25.87	31.197	139.767	0	0	6.869	0	0
1110017D15Rik	0	0.165	0	0	0	0	0	0
